City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,umm lajj,25.02,37.27,61.65,44,57,3.02,SA,1581532687
308,laguna,38.42,-121.42,61.0,54,1,3.06,US,1581532641
309,rockland,41.17,-74.05,46.99,38,1,5.82,US,1581532691
310,lufilufi,-13.87,-171.6,80.01,94,94,8.01,WS,1581532693
311,det udom,14.91,105.08,82.4,61,68,4.7,TH,1581532695
312,cidreira,-30.18,-50.21,74.71,73,0,18.79,BR,1581532697
313,mardin,37.31,40.74,33.8,69,90,11.41,TR,1581532699
314,sao felix do xingu,-6.64,-51.99,84.07,80,54,2.33,BR,1581532449
315,severo-kurilsk,50.68,156.12,19.24,91,71,12.15,RU,1581532703
316,santa marinella,42.03,11.85,54.0,76,43,4.7,IT,1581532705
317,port macquarie,-31.43,152.92,72.0,100,75,3.36,AU,1581532707
318,taltal,-25.4,-70.48,69.98,63,40,8.95,CL,1581532709
319,ouesso,1.61,16.05,78.6,60,66,1.05,CG,1581532711
320,piney green,34.72,-77.32,62.6,55,90,9.17,US,1581532636
321,porto tolle,44.95,12.32,52.0,71,3,2.24,IT,1581532716
322,bystrzyca klodzka,50.3,16.64,37.0,76,51,13.04,PL,1581532718
323,olafsvik,64.89,-23.71,25.88,64,100,12.62,IS,1581532720
324,lyuban,52.8,28.0,32.54,87,100,10.63,BY,1581532722
325,rio grande,-32.03,-52.1,84.2,51,40,16.11,BR,1581532724
326,zhigansk,66.77,123.37,-32.6,96,41,3.89,RU,1581532726
327,houma,29.6,-90.72,80.01,88,100,17.22,US,1581532728
328,samarai,-10.62,150.67,77.09,90,57,6.13,PG,1581532730
329,lorengau,-2.02,147.27,83.28,76,100,13.56,PG,1581532732
330,bambanglipuro,-7.95,110.28,74.5,89,99,5.12,ID,1581532734
331,kupang,-10.17,123.58,83.28,75,100,7.72,ID,1581532736
332,zapolyarnyy,69.42,30.81,24.8,92,75,25.28,RU,1581532738
333,ketchikan,55.34,-131.65,39.2,93,90,34.45,US,1581532740
334,buchanan,5.88,-10.05,82.69,72,54,9.01,LR,1581532742
335,luderitz,-26.65,15.16,64.13,93,5,3.83,NA,1581532744
336,praxedis guerrero,31.37,-106.02,44.01,80,1,17.22,MX,1581532746
337,makat,47.65,53.35,23.32,33,0,5.97,KZ,1581532748
338,nizhniy odes,63.64,54.86,21.09,94,98,7.16,RU,1581532750
339,dharan,26.81,87.28,49.19,84,1,3.83,NP,1581532753
340,lumban,14.3,121.46,77.0,78,20,5.82,PH,1581532755
341,longido,-2.73,36.68,68.83,73,100,8.57,TZ,1581532757
342,kungurtug,50.6,97.52,-5.39,99,100,1.07,RU,1581532759
343,nantucket,41.28,-70.1,44.6,41,1,5.82,US,1581532761
344,kerema,-7.96,145.78,74.93,94,89,2.84,PG,1581532763
345,morehead,37.27,-87.18,42.01,86,90,6.93,US,1581532765
346,boshnyakovo,49.63,142.17,20.5,92,73,5.26,RU,1581532767
347,shache,38.42,77.24,39.34,36,91,4.79,CN,1581532769
348,victoria,22.29,114.16,69.01,88,20,2.24,HK,1581532742
349,tazovskiy,67.47,78.7,11.3,95,96,11.23,RU,1581532773
350,dryden,49.78,-92.75,-16.6,56,1,11.41,CA,1581532533
351,muroto,33.28,134.15,60.31,97,100,19.42,JP,1581532777
352,kaitangata,-46.28,169.85,61.0,63,100,11.07,NZ,1581532779
353,miyang,24.4,103.44,46.92,72,52,4.12,CN,1581532781
354,barreirinhas,-2.75,-42.83,84.43,73,99,7.11,BR,1581532783
355,chimore,-16.98,-65.13,82.22,85,84,2.55,BO,1581532785
356,hammerfest,70.66,23.68,32.0,84,20,18.34,NO,1581532787
357,barraute,48.43,-77.63,27.0,79,75,18.34,CA,1581532790
358,namatanai,-3.67,152.43,82.62,77,93,17.76,PG,1581532613
359,autazes,-3.58,-59.13,74.98,97,98,5.19,BR,1581532593
360,saint george,37.1,-113.58,48.99,30,1,3.36,US,1581532796
361,bathsheba,13.22,-59.52,86.0,58,40,25.28,BB,1581532798
362,inhambane,-23.86,35.38,82.4,69,40,6.93,MZ,1581532706
363,nabire,-3.37,135.48,72.39,98,100,1.5,ID,1581532802
364,fukue,32.69,128.84,55.4,82,75,3.36,JP,1581532804
365,miraflores,19.22,-98.81,78.8,32,5,5.82,MX,1581532806
366,longyearbyen,78.22,15.64,6.8,65,20,13.87,SJ,1581532808
367,hearst,49.68,-83.67,-5.53,93,100,11.54,CA,1581532810
368,hede,33.77,120.25,46.65,86,0,10.27,CN,1581532812
369,mandalgovi,45.76,106.27,9.97,91,100,13.13,MN,1581532814
370,kalmunai,7.42,81.82,80.49,81,48,22.1,LK,1581532816
371,palmer,42.16,-72.33,44.01,41,75,8.05,US,1581532818
372,san matias,-16.37,-58.4,90.21,56,91,5.03,BO,1581532820
373,bitung,1.45,125.18,71.98,98,100,0.94,ID,1581532822
374,ugoofaaru,5.67,73.0,82.13,75,62,12.44,MV,1581532824
375,vila velha,-20.33,-40.29,79.0,94,75,9.17,BR,1581532582
376,shakhtinsk,49.71,72.59,8.6,71,40,13.42,KZ,1581532828
377,nago,26.59,127.98,69.8,88,1,6.93,JP,1581532830
378,alenquer,-1.94,-54.74,82.4,88,75,4.7,BR,1581532833
379,oakdale,44.96,-92.96,35.6,99,90,11.41,US,1581532835
380,gorontalo,0.54,123.06,72.82,94,63,4.14,ID,1581532837
